REGISTRATION,NAME,DISAPPROVALS_BL,DISAPPROVALS_EN,DISAPPROVALS_FM,DISAPPROVALS_OM,NOTE_BL,NOTE_EN,NOTE_FM,NOTE_OM,ENGLISH,H_CLASS_PRES,ONLINE_TASKS,ABSENCES,PROFILE,PROFILE_N
502375,Márcia Illiglener,0,0,0,0,6.2,5.8,4.6,5.9,0.0,2,4,3,EXACTS,2
397093,Jason Jytereoman Izoimum,0,0,0,0,6.0,6.2,5.2,4.5,1.0,2,4,3,EXACTS,2
915288,Bartolomeu Inácio da Gama,0,0,0,0,7.3,6.7,7.1,7.2,0.0,5,0,3,HUMAN,3
192652,Fernanda Guedes,1,3,1,1,0.0,0.0,0.0,0.0,1.0,4,4,4,DIFFICULTY,1
949491,Alessandre Borba Gomes,1,3,1,1,0.0,0.0,0.0,0.0,1.0,5,2,5,DIFFICULTY,1
627360,Magali Hellen Gejibaflião,0,0,0,0,7.3,7.4,7.6,6.5,1.0,5,3,5,HUMAN,3
804493,Tiago Brisu Pires,0,0,0,0,5.8,6.0,7.3,5.1,1.0,5,2,6,DIFFICULTY,1
433789,Andressa Gabrielle da Silva,0,0,0,0,4.9,5.0,5.9,4.6,,2,2,6,DIFFICULTY,1
178335,Gilmar Oséas Etonvic,0,0,0,0,4.4,4.8,4.7,4.6,1.0,3,4,4,DIFFICULTY,1
987229,Otávia Mônica Noopu,0,0,0,0,6.4,5.4,5.0,5.5,1.0,3,5,3,EXACTS,2
382592,Matheus de Souza dos Pinhais,0,0,0,0,6.9,7.5,7.3,6.0,0.0,3,5,5,VERY_GOOD,4
422026,Marcos de Rezende Espada Bakeu,3,1,1,1,0.0,0.0,0.0,0.0,,0,1,7,DIFFICULTY,1
483227,Damares Mara Sobi,1,1,1,1,0.0,0.0,0.0,0.0,,7,5,5,DIFFICULTY,1
816701,Vitor Ragi,3,1,1,1,0.0,0.0,0.0,,0.0,6,5,3,DIFFICULTY,1
672601,Luiza Tahichi,1,3,1,1,0.0,0.0,0.0,0.0,,5,2,6,DIFFICULTY,1
630347,Jaziel da Conceição,0,0,0,0,6.6,4.4,4.9,4.7,1.0,4,2,4,EXACTS,2
559228,Celso de Pereira,0,0,0,0,6.1,4.7,6.5,5.3,0.0,4,5,3,EXACTS,2
573688,Regina Conimman,0,0,0,0,5.5,5.1,6.2,4.7,1.0,2,3,6,EXACTS,2
719970,Yasmin Lopes Gomes Dapitoe,0,0,0,0,6.7,6.5,7.0,5.6,1.0,7,5,3,HUMAN,3
546151,Janete Vitória Gomes,0,0,0,0,5.4,5.2,5.0,5.8,1.0,1,3,5,EXACTS,2
390727,Celso Mariano Hikurode,0,0,0,0,5.3,4.8,4.8,5.3,0.0,3,4,4,DIFFICULTY,1
394721,Rosana Aznanão,0,0,0,0,7.0,7.4,7.3,7.0,,15,5,2,HUMAN,3
506004,Sâmia Edilene Sayu de Meireles,0,0,0,0,8.0,8.4,10.0,8.5,0.0,10,6,2,EXCELLENT,5
